model,M,param,u,x_star,x_plus,Ccrit_exact,Ccrit_numeric,tail_mean,CR_scale,shape_fn,Ccrit_over_CR,tail_over_CR,tail_over_Ccrit,gap
Bardeen,10.0,0.0,0.0,1.5,2.0,1632.4194278107962,1632.4194278020857,1634.292028968114,1632.419427810796,1.299038105676658,1.0000000000000002,1.001147132364033,1.0011471323640329,0.5
Bardeen,10.0,0.5,0.05,1.4991645821659163,1.9981229448431816,1626.9780252320788,1626.9780252294922,1628.8451709116528,1632.419427810796,1.2947079750878787,0.9966666639185896,0.9978104543242685,1.0011476157948154,0.49895836267726534
Bardeen,10.0,1.0,0.1,1.4966332566682492,1.992466905210441,1610.6535468697389,1610.65354685827,1612.5043101406636,1632.419427810796,1.2817173679640634,0.9866664898920942,0.9878002446363677,1.0011490759602037,0.4958336485421917
Bardeen,10.0,1.5000000000000002,0.15,1.492330339569967,1.9829556274863,1583.44352915871,1583.4435291582774,1585.266904537199,1632.419427810796,1.2600643238624218,0.9699979687709509,0.9711149460302416,1.0011515253590748,0.4906252879163331
Bardeen,10.0,2.0,0.2,1.4861279222936477,1.969456330201614,1545.3381888216732,1545.3381888149488,1547.1230948932312,1632.419427810796,1.22974105749823,0.9466551074401843,0.9477485188766995,1.001155026184216,0.4833284079079663
Bardeen,10.0,2.5,0.25,1.4778424661925973,1.9517701990447676,1496.311235694494,1496.3112356743484,1498.0464129759634,1632.419427810796,1.1907266478236038,0.9166218008696246,0.9176847490629063,1.001159636605057,0.47392773285217027
Bardeen,10.0,3.0000000000000004,0.3,1.4672284312309127,1.9296168431008227,1436.3053858813182,1436.3053858510302,1437.9793411039652,1632.419427810796,1.1429755097626197,0.8798629576514645,0.8808884019668951,1.001165459128053,0.46238841186991
Bardeen,10.0,3.5000000000000004,0.35,1.4539670165479204,1.9026096113981292,1365.2101573410189,1365.210157330394,1366.8110221106615,1632.419427810796,1.0863997245004366,0.8363108978504833,0.837291567856224,1.0011726141656905,0.44864259485020885
Bardeen,10.0,4.0,0.4,1.4376468184770912,1.870216019081506,1282.8272440204548,1282.827244015483,1284.34266159278,1632.419427810796,1.0208414850940422,0.7858441416253101,0.7867724677322576,1.0011813107177048,0.43256920060441484
Bardeen,10.0,4.5,0.45,1.4177307532335957,1.8316921377066884,1188.8140105473526,1188.814010530331,1190.2308864174956,1632.419427810796,0.9460281309775588,0.7282527947744696,0.7291207554505093,1.0011918398147837,0.4139613844730927
Bardeen,10.0,5.0,0.5,1.3934983698742844,1.7859677833126868,1082.5848826505637,1082.5848826395827,1083.888986581664,1632.419427810796,0.8614936769519833,0.6631781417245175,0.6639770197021272,1.001204620489349,0.39246941343840236
Bardeen,10.0,5.2,0.52,1.3823842555327932,1.7653267615089543,1036.4665553320235,1036.4665553306104,1037.7212083721956,1632.419427810796,0.824793878152605,0.6349266234364825,0.6356952084084555,1.0012105099134339,0.3829425059761611
Bardeen,10.0,5.4,0.54,1.3703406965011489,1.7431474625348928,988.145768995464,988.1457689875558,989.3482804620336,1632.419427810796,0.7863414181548511,0.6053259059288739,0.6060625496162027,1.001216937322711,0.37280676603374396
Bardeen,10.0,5.6000000000000005,0.56,1.3572699267560742,1.719260433175971,937.5025141572588,937.5025141454038,938.6499956429968,1632.419427810796,0.7460407964460366,0.5743024728727495,0.5750054058728038,1.0012239769690319,0.36199050641989694
Bardeen,10.0,5.800000000000001,0.5800000000000001,1.3430546276861273,1.6934547672344211,884.381226623995,884.3812266071902,885.4705529038989,1632.419427810796,0.7037682189744126,0.5417610275626408,0.5424283354011445,1.001231738357973,0.35040013954829385
Bardeen,10.0,6.000000000000001,0.6000000000000001,1.327551692103359,1.6654625203285196,828.5765766503807,828.576576649873,829.6043015633416,1632.419427810796,0.659360289520344,0.507575787530027,0.5082053591312049,1.0012403499470326,0.3379108282251606
Bardeen,10.0,6.200000000000001,0.6200000000000001,1.3105831456497343,1.634934591555654,769.8111935121473,769.8111935082347,770.7734851486624,1632.419427810796,0.6125962834746491,0.47157683889153734,0.4721663268749079,1.0012500359109158,0.3243514459059196
Bardeen,10.0,6.400000000000001,0.6400000000000001,1.2919224597592245,1.6014015394265164,707.6989669139197,707.69896689678,708.5914146332246,1632.419427810796,0.56316894402689,0.4335276552442164,0.4340743577056676,1.0012610555632102,0.30947907966729193
Bardeen,10.0,6.600000000000001,0.6600000000000001,1.2712730215475485,1.5642058987035516,641.6806847427379,641.6806847425639,642.4980739482689,1632.419427810796,0.5106332643169944,0.39308567014745877,0.3935863926894756,1.0012738254788809,0.29293287715600314
